TestID,SN,Time,Result,,,,测试项目,充电容量,放电容量,回充容量,,,,单位,mAh,mAh,mAh,,,,数值下限,N/A,1260,800,,,,数值上限,N/A,N/A,N/A,
,,08: 05: 13,False,3218.41444444444,Input string was not in a correct format. False,,
,,08: 20: 46,False,3218.41444444444,Input string was not in a correct format. False,,
,,08: 23: 05,False,Input string was not in a correct format. False,,,
,,08: 25: 55,False,Input string was not in a correct format. False,,,
,,08: 30: 38,False,,Input string was not in a correct format. False,,,
,,09: 07: 46,False,,3242.35311111111,Input string was not in a correct format. False,,
,,09: 15: 37,False,,3242.35,Input string was not in a correct format. False,,
,,09: 16: 41,False,,1522.83,Input string was not in a correct format. False,,
,,09: 26: 00,False,Command Error False,,,,
,,09: 26: 38,False,Command Error False,,,,
,,09: 27: 13,False,1193.39,Input string was not in a correct format. False,,
,,09: 28: 31,True,1193.39,1193.39,800.27,
,t00330321001069.xls,09: 43: 46,True,t00330321001069.xls,1476.41,1476.41,800.32,
,t00330321001069,09: 45: 04,True,t00330321001069,1476.41,1476.41,800.32,
,t00330321001069,09: 45: 20,True,t00330321001069,1476.41,1476.41,800.32,
,t00330321001070,09: 45: 31,True,t00330321001070,1500.66,1500.66,800.19,
,t00330321001070,09: 45: 42,True,t00330321001070,1500.66,1500.66,800.19,
,t00330321001071,09: 45: 50,True,t00330321001071,1531.40,1531.40,800.29,
,t00330321001072,10: 52: 33,True,t00330321001072,1419.64,1419.64,800.08,
,t00330321001072,10: 52: 59,True,t00330321001072,1419.64,1419.64,800.08,
,t00330321001073,10: 53: 24,True,t00330321001073,1466.30,1466.30,800.03,
,t00330321001073,10: 54: 33,True,t00330321001073,1466.30,1466.30,800.03,
,t00330321001074,01: 29: 33,True,t00330321001074,1328.65,1328.65,800.29,
,,01: 46: 09,True,,1328.65,1328.65,800.29,
,t00330321001077,01: 46: 27,True,t00330321001077,1486.03,1486.03,800.28,
,t00330321001082,01: 46: 39,True,t00330321001082,1488.86,1488.86,800.05,
,t00330321001082,02: 30: 52,True,1488.86,1488.86,800.05,
,t00330321001082,05: 29: 48,False,,,,
,t00330321001082,05: 29: 55,False,,,,
,t00330321001082,05: 32: 34,True,True,3335.67,1488.85847222222,800.053694444444,
,t00330321001082,05: 32: 50,True,True,3335.67,1488.85847222222,800.053694444444,
,t00330321001082,05: 33: 21,True,True,3335.67,1488.85847222222,800.053694444444,
,t00330321001082,05: 34: 06,True,True,3335.67,1488.85847222222,800.053694444444,
,t00330321001082,05: 34: 12,True,True,3335.67,1488.85847222222,800.053694444444,
,t00330321001082,05: 35: 10,True,True,3335.67,1488.85847222222,800.053694444444,
,t00330321001082,05: 35: 16,True,True,3335.67,1488.85847222222,800.053694444444,
,t00330321001082,05: 35: 21,True,True,3335.67,1488.85847222222,800.053694444444,
,t00330321001082,05: 35: 30,True,True,3335.67,1488.85847222222,800.053694444444,
,t00330321001082,05: 38: 12,True,True,t00330321001082,3335.67,1488.85847222222,800.053694444444,
,t00330321001094,05: 38: 27,True,True,t00330321001094,3606.93066666667,1562.82955555556,800.031291666667,
,t00330321001095,05: 39: 20,True,True,t00330321001095,3557.47155555556,1458.33466666667,800.216783333333,
,t00330321001096,05: 39: 32,True,True,t00330321001096,3414.96933333333,1499.68727777778,800.317716666667,
,t00330321001096,05: 43: 43,True,True,t00330321001096,3414.96933333333,1499.68727777778,800.317716666667,
,t00330321001103,05: 46: 30,True,True,t00330321001103,3335.72333333333,1518.48283333333,800.191555555556,
,t00330321001107,05: 46: 32,True,True,t00330321001107,3151.56044444444,1453.43708333333,800.329491666667,
,t00330321001108,05: 47: 24,False,True,t00330321001108,2293.22155555556,939.73375,,
,t00330321001109,05: 47: 25,True,True,t00330321001109,3485.132,1520.90966666667,800.150552777778,
,t00330321001110,05: 47: 28,True,True,t00330321001110,3538.05977777778,1452.19761111111,800.041,
,t00330321001111,05: 47: 41,True,True,t00330321001111,3544.99577777778,1600.92388888889,800.270213888889,
,t00330321001111,05: 52: 12,False,True,t00330321001111,3544.99577777778,1600.92388888889,500,
,t00330321001112,05: 52: 13,True,True,t00330321001112,3443.64466666667,1543.91130555556,800.363166666667,
,t00330321001113,05: 52: 14,True,True,t00330321001113,3551.67022222222,1581.34791666667,800.141166666667,
,t00330321001114,05: 52: 15,True,True,t00330321001114,3274.16,1430.97402777778,800.313597222222,
,t00330321001115,05: 52: 16,True,True,t00330321001115,3084.43511111111,1318.46986111111,800.016861111111,
,t00330321001116,05: 52: 17,True,True,t00330321001116,3572.69377777778,1561.37638888889,800.157219444444,
,t00330321001117,06: 06: 17,True,True,t00330321001117,3385.80244444444,1560.45311111111,800.164269444444,
,t00330321001120,06: 07: 03,True,True,t00330321001120,3210.94533333333,1488.42280555556,800.21115,
,t00330321001123,06: 08: 12,True,True,t00330321001123,3521.15577777778,1545.13919444444,800.332663888889,
