TestID,SN,Time,Result,,,,测试项目,UID,OffmodeCurrentT3.01TurnOffBefore,TurnOn,powerOnCurrentT3.01TurnOn,TurnOff,offmodeCurrentT3.01TurnOff,,,,单位,N/A,UA,N/A,mA,NA,uA,,,,数值下限,N/A,1,N/A,3,NA,5,,,,数值上限,N/A,3,N/A,30,NA,15,
,2341ME02R158,08: 30: 48,False,2342ME0002P2,,,,,,
,2341ME02R108,08: 41: 10,False,2342ME0002T2,,,,,,
,2341ME02R108,08: 46: 24,False,2342ME0002T2,,,,,,
,2341ME02R108,08: 50: 08,False,2342ME0002T2,,,,,,
,2341ME02R108,08: 51: 42,False,2342ME0002T2,,,,,,
,2341ME02R108,08: 58: 05,False,2342ME0002T2,,,,,,
,2341ME02R108,09: 00: 29,False,2342ME0002T2,,,,,,
,2341ME02R108,09: 21: 59,False,2342ME0002T2,,,,,,
,2341ME02R108,09: 24: 12,False,2342ME0002T2,,,,,,
,2341ME02R108,09: 24: 51,False,2342ME0002T2,,,,,,
,2341ME02R118,09: 32: 51,False,2342ME0002U2,,,,,,
,2341ME02R118,09: 34: 24,False,,,,,,,
,2341ME02R118,09: 34: 52,False,,,,,,,
,2341ME02R128,09: 55: 01,False,,,,,,,
,2341ME02R128,09: 57: 47,False,2342ME0002V2,,,,,,
,2341ME02R128,09: 57: 58,False,2342ME0002V2,,,,,,
,2341ME02R138,01: 35: 59,False,,,,,,,
,2341ME02R138,01: 43: 53,False,,,,,,,
,2341ME02R138,01: 54: 03,False,,,,,,,
,2341ME02R138,01: 56: 12,False,,,,,,,
,2341ME02R138,02: 31: 51,False,,,,,,,
,2341ME02R138,02: 32: 50,False,,,,,,,
,2341ME02R138,02: 33: 11,False,,,,,,,
,2341ME02R148,02: 40: 43,False,2342ME0002X2,,
,2341ME02R148,02: 41: 39,False,2342ME0002X2,,
,2341ME02R148,02: 42: 36,False,2342ME0002X2,False,
