TestID,SN,Time,Result,,,,测试项目,001s,耳機藍燈測試,耳機綠燈測試,,,,单位,N/A,N/A,N/A,,,,数值下限,N/A,N/A,N/A,,,,数值上限,N/A,N/A,N/A,
1,2345ME02NQN8,10: 28: 20,False,True,True,True,
1,2345ME02NNT8,10: 44: 40,False,True,False,,
1,2345ME02NYQ8,11: 22: 35,False,True,True,8,,
1,2345ME02NZG8,11: 25: 38,False,True,True,8,,
1,2345ME02P128,11: 34: 58,False,True,True,8,,
1,2345ME02NVA8,11: 36: 32,False,True,True,8,,
2,2345ME02P118,11: 38: 21,False,True,True,9,,
1,2345ME02P1X8,11: 41: 22,False,True,True,4,False,
1,2345ME02P1X8,11: 41: 47,False,True,True,5,True,
1,2345ME02P1X8,11: 42: 24,True,True,True,6,True,
1,2345ME02P2Q8,11: 45: 02,True,True,True,4,True,
1,2345ME02P2Q8,11: 46: 35,False,True,True,8,,
1,2345ME02P2Q8,11: 47: 04,True,True,True,4,True,
